PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-08-27,08:30:33.26,1,1,"Whitesell, Miles",35,Right,THO_MOR,"Barth, Drew",1000298109,,THO_MOR,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.18399,-3.414259,-2.895534,2426.57504,205.315936,12:45,6.54866,1.45323,5.82781,-14.23194,21.39025,9.52815,2.18098,-0.44671,80.9542,-6.155718,-1.190377,0.429568,,,,,,,,,,,,-5.73839,12.31847,-1.22232,50,6.26099,6.12314,-129.08988,-8.08777,-9.61038,28.75857,-11.54368,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260827-ThomasMoreStadium-Private-1,1a1702b0-a213-11f1-8fe0-735bfed8a01e,87.74504,,,8.22979,,,,,,,cd607ccc-2c44-4685-b3d9-34b693583f84,2026-08-27,12:30:33.26,2026-08-27T08:30:33.2610000-04:00,2026-08-27T12:30:33.2610000Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,f67bfab4-226f-4eb0-a288-83e3fe15a638,54.66919,-130.12592,14.37929,6.54487,-7.67191,-5.77184,-1.44914,6.46936,-4.80519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-08-27,08:30:56.42,1,2,"Whitesell, Miles",35,Right,THO_MOR,"Barth, Drew",1000298109,,THO_MOR,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.69907,-2.709338,-4.161978,2423.512367,206.382567,1:00,6.5189,1.51233,6.18883,-13.90056,20.82013,9.73528,2.85053,-1.52588,81.46541,-5.407261,-2.412117,0.424097,,,,,,,,,,,,-6.24355,11.90835,-1.20283,50,6.30681,9.04363,-129.83012,-6.49422,-10.59522,28.64492,-11.9657,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260827-ThomasMoreStadium-Private-1,2753d5c0-a213-11f1-8fe0-735bfed8a01e,88.87688,,,8.23365,,,,,,,cd607ccc-2c44-4685-b3d9-34b693583f84,2026-08-27,12:30:56.42,2026-08-27T08:30:56.4200000-04:00,2026-08-27T12:30:56.4200000Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,d8f967a8-d016-43c8-b718-f6fb21868f03,54.30766,-130.77708,14.32246,6.51496,-6.09865,-5.98285,-1.50759,9.39389,-5.29761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-08-27,08:31:11.80,1,3,"Whitesell, Miles",35,Right,THO_MOR,"Barth, Drew",1000298109,,THO_MOR,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.13934,-1.610545,-2.881718,2345.288623,208.460318,1:00,6.47773,1.54151,5.95459,-17.73375,16.72473,8.45174,3.50405,-0.42888,82.12987,-4.979194,-1.365463,0.422493,,,,,,,,,,,,-5.15485,9.37863,-1.31708,50,6.33967,6.22076,-130.73019,-4.20651,-8.8951,28.30292,-15.99047,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260827-ThomasMoreStadium-Private-1,309ab680-a213-11f1-8fe0-735bfed8a01e,89.21437,,,8.00947,,,,,,,cd607ccc-2c44-4685-b3d9-34b693583f84,2026-08-27,12:31:11.80,2026-08-27T08:31:11.8090000-04:00,2026-08-27T12:31:11.8090000Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,a9f004dc-ea82-48b6-9575-5dd04475537d,54.54245,-131.70995,14.15146,6.47571,-3.65297,-7.99523,-1.53775,6.52868,-4.44755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-08-27,08:31:39.76,1,4,"Whitesell, Miles",35,Right,THO_MOR,"Barth, Drew",1000298109,,THO_MOR,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.91976,-2.5675,-1.185844,2402.910645,206.771569,1:00,6.54554,1.58586,5.94339,-15.69698,19.82911,9.39095,2.85382,1.26832,80.81446,-5.577647,0.501344,0.428988,,,,,,,,,,,,-5.14481,11.27524,-1.49656,50,6.33205,2.2697,-128.9581,-6.20705,-8.60669,28.46645,-13.31179,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260827-ThomasMoreStadium-Private-1,40f56b60-a213-11f1-8fe0-735bfed8a01e,87.86365,,,8.1053,,,,,,,cd607ccc-2c44-4685-b3d9-34b693583f84,2026-08-27,12:31:39.76,2026-08-27T08:31:39.7670000-04:00,2026-08-27T12:31:39.7670000Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,93a437eb-a779-46c3-99d5-33f6fb1b4d3c,54.55261,-129.95916,14.23323,6.5421,-5.73892,-6.6559,-1.58169,2.57237,-4.30334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-08-27,08:31:54.62,1,5,"Whitesell, Miles",35,Right,THO_MOR,"Barth, Drew",1000298109,,THO_MOR,Undefined,1,Top,0,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.92731,-1.848537,-3.355983,2380.747402,199.311741,12:45,6.47513,1.63968,6.04503,-17.9969,16.60867,5.41469,3.26048,-1.01962,81.83419,-5.269896,-2.383869,0.423394,,,,,,,,,,,,-3.75307,9.42497,-1.38089,50,6.32116,7.41296,-130.32806,-4.73588,-6.42511,28.57925,-16.03891,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260827-ThomasMoreStadium-Private-1,49c9db40-a213-11f1-8fe0-735bfed8a01e,89.02456,,,8.09312,,,,,,,cd607ccc-2c44-4685-b3d9-34b693583f84,2026-08-27,12:31:54.62,2026-08-27T08:31:54.6240000-04:00,2026-08-27T12:31:54.6240000Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,273ed714-98a4-46d1-9a3c-4792706878e6,54.45106,-131.30049,14.28963,6.47302,-4.19015,-8.01946,-1.63684,7.63158,-3.21256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-08-27,08:32:14.47,1,6,"Whitesell, Miles",35,Right,THO_MOR,"Barth, Drew",1000298109,,THO_MOR,Undefined,1,Top,0,3,2,Cutter,Slider,BallCalled,Walk,Undefined,Undefined,0,0,,82.19402,1.306107,-2.49782,2353.238917,96.313569,9:15,6.34223,1.7078,5.27696,-40.42809,1.87315,-5.3202,4.20131,-1.08301,75.43571,-6.063966,-3.440112,0.46811,,,,,,,,,,,,1.98067,0.97563,-1.47564,50,6.43188,5.42332,-119.21596,1.26959,2.85613,22.49321,-30.76719,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260827-ThomasMoreStadium-Private-1,563b9620-a213-11f1-8fe0-735bfed8a01e,80.52045,,,6.75831,,,,,,,cd607ccc-2c44-4685-b3d9-34b693583f84,2026-08-27,12:32:14.47,2026-08-27T08:32:14.4760000-04:00,2026-08-27T12:32:14.4760000Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,5ab9d17b-484e-427e-a574-9cde4d99b292,55.22148,-120.19708,11.2466,6.34723,2.61162,-15.3836,-1.70948,5.29874,1.42806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-08-27,08:32:30.92,2,1,"Whitesell, Miles",35,Right,THO_MOR,"Thompson, Dylan",10077983,Right,THO_MOR,Undefined,1,Top,0,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.00817,-1.784314,-3.364443,2316.073383,152.668136,11:00,6.33834,1.66275,5.50033,-34.04959,6.50492,-2.66555,1.82858,-1.70979,76.80724,-8.020231,-3.838544,0.458343,,,,,,,,,,,,0.3476,4.21882,-1.36662,50,6.15935,7.26238,-121.64698,-4.9746,0.51756,25.28592,-25.8927,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260827-ThomasMoreStadium-Private-1,608b8270-a213-11f1-8fe0-735bfed8a01e,82.23628,,,7.20093,,,,,,,cd607ccc-2c44-4685-b3d9-34b693583f84,2026-08-27,12:32:30.92,2026-08-27T08:32:30.9200000-04:00,2026-08-27T12:32:30.9200000Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,c6abe45b-27c3-4182-ad5f-56d8f5f724c6,54.9966,-122.68119,12.64296,6.34116,-3.91557,-12.94635,-1.66323,7.24121,0.25878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-08-27,08:32:45.68,2,2,"Whitesell, Miles",35,Right,THO_MOR,"Thompson, Dylan",10077983,Right,THO_MOR,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.97663,-4.730798,-2.278986,2374.956168,205.01507,12:45,6.53565,1.56984,5.75156,-13.75115,21.3356,9.39001,0.97219,0.22966,81.97835,-7.361932,-0.599444,0.426327,,,,,,,,,,,,-5.50681,12.67012,-1.38667,50,6.1339,4.78355,-130.13594,-11.16088,-9.39249,28.68852,-10.56378,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260827-ThomasMoreStadium-Private-1,69050110-a213-11f1-8fe0-735bfed8a01e,88.41201,,,7.99828,,,,,,,cd607ccc-2c44-4685-b3d9-34b693583f84,2026-08-27,12:32:45.68,2026-08-27T08:32:45.6890000-04:00,2026-08-27T12:32:45.6890000Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,5d0b981d-e1e2-448a-b944-6aed2e443939,54.74743,-131.17834,14.34426,6.53246,-10.77704,-5.28189,-1.56668,5.12482,-4.69625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-08-27,08:33:02.70,2,3,"Whitesell, Miles",35,Right,THO_MOR,"Thompson, Dylan",10077983,Right,THO_MOR,Undefined,1,Top,0,2,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.45449,1.655009,-1.667365,2358.783512,146.915992,11:00,6.30549,1.81297,5.29446,-35.39002,5.45185,-2.76697,4.91129,0.01646,76.64832,-4.824112,-2.157995,0.459964,72.31995,-1.658386,177.83819,1731.795428,,,,49.4551,44.65593,178.29134,0.511401,0.94551,2.68075,-1.65919,50,6.4304,3.6437,-121.11368,2.2316,1.41273,22.34396,-28.16865,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260827-ThomasMoreStadium-Private-1,73516af0-a213-11f1-8fe0-735bfed8a01e,81.94642,4.68651,,6.80618,,,,1.31289,4.68651,-0.00052,cd607ccc-2c44-4685-b3d9-34b693583f84,2026-08-27,12:33:02.70,2026-08-27T08:33:02.7080000-04:00,2026-08-27T12:33:02.7080000Z,GroundBall,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,b9ca56c9-f5c6-424a-ba80-44bd852b0356,55.20324,-122.06984,11.17198,6.30911,3.43701,-14.08433,-1.81382,3.58324,0.70636,208.573022,1.29887,-105.58068,12.52353,,,,,,,4.68912,-3.13668,-11.80599,,,,,,,0.00246,3.92086,-2.04856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2026-08-27,08:33:36.15,2,4,"Whitesell, Miles",35,Right,THO_MOR,"Thompson, Dylan",10077983,Right,THO_MOR,Undefined,1,Top,0,3,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.63422,-1.046389,-2.749068,2266.53087,155.636949,11:15,6.29396,1.74963,5.61056,-31.73569,7.97512,-3.0154,2.67141,-1.06956,77.23233,-6.899933,-3.286736,0.453551,,,,,,,,,,,,0.71114,4.75485,-1.5126,50,6.18417,6.01668,-122.67452,-3.32212,1.07719,25.62383,-24.97166,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260827-ThomasMoreStadium-Private-1,865cc0e0-a213-11f1-8fe0-735bfed8a01e,83.10526,,,7.40189,,,,,,,cd607ccc-2c44-4685-b3d9-34b693583f84,2026-08-27,12:33:36.15,2026-08-27T08:33:36.1540000-04:00,2026-08-27T12:33:36.1540000Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,49fc5136-f397-4f92-b94c-77db2ed17368,54.88569,-123.69081,12.81191,6.29629,-2.33169,-12.48583,-1.75038,5.97396,0.5386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
