PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-09-07,13:10:47.83,1,1,"Adkins, Karson",1,Undefined,THO_MOR,"Atchley, Chad",10005022,Right,THO_MOR,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.34532,-3.303041,-3.411412,2314.542227,211.790183,1:00,5.58552,2.08263,6.15785,-19.28552,17.32926,9.96583,0.91814,-0.24217,79.59455,-6.961581,-1.617358,0.435512,,,,,,,,,,,,-6.20725,10.33237,-1.82864,50,5.32428,7.15204,-126.49779,-7.85573,-9.99733,27.25358,-15.53283,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260907-ThomasMoreStadium-Private-1,121ebfb0-aadf-11f1-b3e2-c9d2ff538120,86.5475,,,7.75077,,,,,,,3ab022dd-b8d3-4633-848c-7ea1eb2a84bd,2026-09-07,17:10:47.83,2026-09-07T13:10:47.8300000-04:00,2026-09-07T17:10:47.8300000Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,bec9db4d-5ba7-4c00-aec5-f44bb0c07655,54.34075,-127.42956,13.62679,5.58378,-7.32468,-7.76641,-2.079,7.49384,-4.99866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-09-07,13:11:05.82,1,2,"Adkins, Karson",1,Undefined,THO_MOR,"Atchley, Chad",10005022,Right,THO_MOR,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.45827,0.281545,-3.476548,2282.741005,213.608921,1:00,5.72374,2.00302,5.9531,-22.80033,15.57237,9.51595,4.0853,-0.43211,77.73078,-4.024883,-1.77153,0.445844,,,,,,,,,,,,-5.86343,8.27567,-1.73166,50,5.7334,7.14038,-123.90177,-0.06532,-9.08557,25.49677,-19.35066,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260907-ThomasMoreStadium-Private-1,1ce8e510-aadf-11f1-b3e2-c9d2ff538120,84.54186,,,7.72748,,,,,,,3ab022dd-b8d3-4633-848c-7ea1eb2a84bd,2026-09-07,17:11:05.82,2026-09-07T13:11:05.8270000-04:00,2026-09-07T17:11:05.8270000Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,4146c389-0490-4d2a-a1d0-40aa8dece7a4,54.54342,-124.83322,12.74839,5.72287,0.6416,-9.67533,-1.99857,7.4723,-4.54279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-09-07,13:11:26.69,1,3,"Adkins, Karson",1,Undefined,THO_MOR,"Atchley, Chad",10005022,Right,THO_MOR,Undefined,1,Top,0,2,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.428,-1.582346,-3.596908,2431.669923,246.199696,2:15,5.51686,1.15776,6.17595,-34.92108,8.9263,17.10603,1.1422,-0.7429,73.0812,-8.067937,-0.512667,0.476588,,,,,,,,,,,,-9.8963,5.46107,-0.8943,50,5.37915,6.63941,-115.25501,-4.2019,-13.32715,21.18771,-24.81974,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260907-ThomasMoreStadium-Private-1,2adc8500-aadf-11f1-b3e2-c9d2ff538120,79.08808,,,6.3468,,,,,,,3ab022dd-b8d3-4633-848c-7ea1eb2a84bd,2026-09-07,17:11:26.69,2026-09-07T13:11:26.6940000-04:00,2026-09-07T17:11:26.6940000Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,401d5797-ce90-423b-b066-ecf53ed3c5d3,54.32397,-116.04717,10.59385,5.5189,-3.27394,-12.40987,-1.15185,7.13769,-6.66357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-09-07,13:11:45.51,1,4,"Adkins, Karson",1,Undefined,THO_MOR,"Atchley, Chad",10005022,Right,THO_MOR,Undefined,1,Top,0,3,0,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,86.73776,-0.221005,-1.32542,2244.101423,198.721422,12:30,5.76781,0.96917,6.08138,-20.26698,16.6404,5.23859,3.87437,0.17927,79.08792,-4.071635,-0.382126,0.437248,,,,,,,,,,,,-3.07004,8.9941,-0.86948,50,5.73992,2.70335,-125.99255,-1.06497,-4.92454,26.09656,-17.74692,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260907-ThomasMoreStadium-Private-1,3485d110-aadf-11f1-b3e2-c9d2ff538120,86.20377,,,7.64984,,,,,,,3ab022dd-b8d3-4633-848c-7ea1eb2a84bd,2026-09-07,17:11:45.51,2026-09-07T13:11:45.5110000-04:00,2026-09-07T17:11:45.5110000Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,30e7c050-0202-4ebd-b2ee-5703127718a1,54.41521,-126.90377,13.04828,5.76629,-0.4453,-8.87346,-0.96688,2.8753,-2.46227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-09-07,13:12:06.11,2,1,"Adkins, Karson",1,Undefined,THO_MOR,"Thompson, Dylan",10077983,Right,THO_MOR,Undefined,1,Top,0,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.67007,0.904855,-1.661565,2572.288884,36.726795,7:15,5.5927,1.0419,5.6087,-65.46126,-14.33828,-11.95052,0.98263,-1.50533,68.5844,-10.974913,-3.800911,0.514611,,,,,,,,,,,,5.52343,-7.01453,-0.89205,50,5.62801,3.58538,-108.41017,-0.41399,6.49074,21.17521,-40.41706,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260907-ThomasMoreStadium-Private-1,40d95590-aadf-11f1-b3e2-c9d2ff538120,73.24447,,,6.08567,,,,,,,3ab022dd-b8d3-4633-848c-7ea1eb2a84bd,2026-09-07,17:12:06.11,2026-09-07T13:12:06.1140000-04:00,2026-09-07T17:12:06.1140000Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,6dd0dd15-0a29-44c3-9589-3245895e635f,54.89358,-109.36183,10.5876,5.60579,1.40244,-20.20853,-1.04663,3.29367,3.24537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-09-07,13:12:30.50,2,2,"Adkins, Karson",1,Undefined,THO_MOR,"Thompson, Dylan",10077983,Right,THO_MOR,Undefined,1,Top,0,1,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.9521,1.01731,-1.000932,2374.948232,11.083215,6:15,5.66675,1.20547,5.4324,-51.90015,-5.38095,-1.32134,2.29469,0.1579,72.05881,-8.409187,-1.236436,0.490894,,,,,,,,,,,,0.40134,-2.58169,-1.11588,50,5.72057,2.03004,-113.27308,0.24502,0.52374,19.84097,-35.54304,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260907-ThomasMoreStadium-Private-1,4f5adda0-aadf-11f1-b3e2-c9d2ff538120,76.78331,,,5.89329,,,,,,,3ab022dd-b8d3-4633-848c-7ea1eb2a84bd,2026-09-07,17:12:30.50,2026-09-07T13:12:30.5010000-04:00,2026-09-07T17:12:30.5010000Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,3807aa8a-8b3a-45e6-81d0-108dc9abb967,55.06849,-114.15742,9.92049,5.67434,1.82923,-17.77152,-1.20584,2.00669,0.26187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-09-07,13:12:59.00,2,3,"Adkins, Karson",1,Undefined,THO_MOR,"Thompson, Dylan",10077983,Right,THO_MOR,Undefined,1,Top,0,1,1,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,86.05218,1.058175,-1.871338,2282.359026,195.821472,12:30,5.88559,0.90201,6.04989,-20.32851,17.2891,4.55705,5.17175,-0.45118,78.25348,-2.813209,-1.051944,0.441435,,,,,,,,,,,,-2.86547,8.94335,-0.75874,50,5.95692,3.89494,-124.90722,1.73823,-4.51403,25.83191,-18.08539,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260907-ThomasMoreStadium-Private-1,605ecad0-aadf-11f1-b3e2-c9d2ff538120,85.3861,,,7.7987,,,,,,,3ab022dd-b8d3-4633-848c-7ea1eb2a84bd,2026-09-07,17:12:59.00,2026-09-07T13:12:59.0090000-04:00,2026-09-07T17:12:59.0090000Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,41f4ca96-fa21-4bd6-b39f-05a103eb24b0,54.44564,-125.82326,12.91596,5.8839,2.37956,-9.0427,-0.89969,4.05501,-2.25701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-09-07,13:13:22.78,2,4,"Adkins, Karson",1,Undefined,THO_MOR,"Thompson, Dylan",10077983,Right,THO_MOR,Undefined,1,Top,0,2,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,73.02831,3.007059,-1.201291,2458.841829,35.374724,7:15,5.71226,1.11186,5.67561,-68.26291,-14.92135,-11.84556,2.8302,-0.99534,66.75106,-9.443904,-3.320616,0.525659,,,,,,,,,,,,5.64095,-7.99205,-1.00295,50,5.92302,2.6453,-105.95032,3.42304,6.34026,19.99407,-41.15687,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260907-ThomasMoreStadium-Private-1,6e947cd0-aadf-11f1-b3e2-c9d2ff538120,71.70508,,,6.27725,,,,,,,3ab022dd-b8d3-4633-848c-7ea1eb2a84bd,2026-09-07,17:13:22.78,2026-09-07T13:13:22.7850000-04:00,2026-09-07T17:13:22.7850000Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,3d52b49e-3857-4f01-8405-d861cb36abb8,54.82728,-106.8574,9.99704,5.72537,5.29022,-20.57844,-1.11644,2.35766,3.17013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-09-07,13:13:43.42,2,5,"Adkins, Karson",1,Undefined,THO_MOR,"Thompson, Dylan",10077983,Right,THO_MOR,Undefined,1,Top,0,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.97729,-2.46567,-3.107498,2225.00659,195.331589,12:30,5.79512,0.88331,6.36595,-20.5997,16.52375,4.21303,1.80484,-1.62792,78.98562,-6.363667,-2.346044,0.438526,,,,,,,,,,,,-3.03067,9.63729,-0.66038,50,5.60677,6.61174,-124.74314,-5.9385,-4.78966,24.39368,-16.94338,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260907-ThomasMoreStadium-Private-1,7ae6c8d0-aadf-11f1-b3e2-c9d2ff538120,85.95253,,,6.99167,,,,,,,3ab022dd-b8d3-4633-848c-7ea1eb2a84bd,2026-09-07,17:13:43.42,2026-09-07T13:13:43.4200000-04:00,2026-09-07T17:13:43.4200000Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,bac71e5e-7956-4e96-bfe8-2e16b8bb5b92,54.13151,-125.54847,12.19684,5.79358,-5.37914,-8.47169,-0.88127,6.76987,-2.39483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-09-07,13:14:18.45,2,6,"Adkins, Karson",1,Undefined,THO_MOR,"Thompson, Dylan",10077983,Right,THO_MOR,Undefined,1,Top,0,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,88.03543,-1.841333,-3.746081,2471.035233,214.247542,1:15,5.71976,0.90861,6.15036,-20.4684,15.0065,9.51386,2.30852,-1.76474,81.26822,-5.687764,-2.035086,0.428679,,,,,,,,,,,,-5.8567,8.54745,-0.62822,50,5.56873,7.98717,-127.75918,-4.72435,-9.77966,23.78429,-17.90136,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260907-ThomasMoreStadium-Private-1,8fa4d7d0-aadf-11f1-b3e2-c9d2ff538120,87.92701,,,6.76721,,,,,,,3ab022dd-b8d3-4633-848c-7ea1eb2a84bd,2026-09-07,17:14:18.45,2026-09-07T13:14:18.4590000-04:00,2026-09-07T17:14:18.4590000Z,,v3,643-145989,643-145989,,"Atchley, Chad",10005022,Right,THO_MOR,b1f77f31-50bd-4ce8-8e00-60081815c3af,54.34866,-128.5662,11.89215,5.71872,-4.11695,-8.95068,-0.90486,8.319,-4.88983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
