PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-09-16,15:47:23.02,1,1,"Maggard, Chase",10081115,Left,THO_MOR,"Atchley, Chad",10005022,Right,THO_MOR,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,1,0,,81.41228,-1.056867,3.20749,1894.811682,137.663459,10:30,5.62005,-2.36498,5.41546,-29.84805,12.82973,-10.53449,2.14099,-0.23498,75.11966,-6.548825,1.33627,0.470189,68.04578,51.269868,-33.071729,5138.249844,92.5412,86.67269,-59.46501,196.67968,193.38427,-33.938329,4.762603,6.19067,7.10559,2.08756,50,5.50521,-6.20608,-118.12855,-3.16334,8.81594,20.85559,-22.05523,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260916-ThomasMoreStadium-Private-2,6fd4faa0-b207-11f1-bf1f-231e2cdd9da6,80.16447,86.72582,,6.29262,,,,4.02098,2.57162,0.26514,c253678d-02a5-4da6-a6d6-723ad593c265,2026-09-16,19:47:23.02,2026-09-16T15:47:23.0270000-04:00,2026-09-16T19:47:23.0270000Z,Popup,v3,643-145989,643-145989,,"Zimmerman, Tyler",10108880,Right,THO_MOR,baf390f3-c2c4-4d14-8f67-a85dbe043650,55.08475,-119.02288,10.4278,5.62058,-2.21757,-11.02762,2.36179,-6.58412,4.40797,177.357305,4.02256,52.28274,-10.96813,2.85342,-0.32776,-0.05767,0.02842,-0.00398,0.00019,2.57129,77.8561,-20.38952,1.23929,0.08343,-0.16398,0.06154,-0.01039,0.00066,0.26437,-34.052,6.60235,-1.78815,0.23148,0.02403,-0.01535,0.00228,-0.00011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
2,2026-09-16,15:47:58.81,1,2,"Maggard, Chase",10081115,Left,THO_MOR,"Atchley, Chad",10005022,Right,THO_MOR,Undefined,1,Top,1,0,1,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.93246,-1.212314,4.027006,1988.865076,146.345401,11:00,5.54935,-2.13971,5.70223,-28.91017,12.43552,-7.54941,2.0076,0.98965,76.3546,-6.530595,2.681302,0.462793,,,,,,,,,,,,4.76268,6.95418,1.80636,50,5.42925,-8.08106,-118.9196,-3.44422,6.94996,18.73796,-22.02615,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260916-ThomasMoreStadium-Private-2,8531baa0-b207-11f1-bf1f-231e2cdd9da6,81.44564,,,5.57786,,,,,,,c253678d-02a5-4da6-a6d6-723ad593c265,2026-09-16,19:47:58.81,2026-09-16T15:47:58.8180000-04:00,2026-09-16T19:47:58.8180000Z,,v3,643-145989,643-145989,,"Zimmerman, Tyler",10108880,Right,THO_MOR,e6153bfc-a0d3-4a19-b62c-db7821083d3d,54.79769,-119.67318,9.36898,5.54995,-2.5584,-11.01308,2.13698,-8.36056,3.47498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2026-09-16,15:48:09.58,1,3,"Maggard, Chase",10081115,Left,THO_MOR,"Atchley, Chad",10005022,Right,THO_MOR,Undefined,1,Top,1,0,2,Curveball,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,66.88763,2.581934,0.961511,2226.304303,312.342188,4:30,5.4162,-2.38325,5.08765,-70.65338,-6.57839,9.25717,1.9639,-0.7055,62.12649,-10.143687,2.600008,0.576124,,,,,,,,,,,,-4.36437,-3.43516,2.28462,50,5.60433,-1.948,-97.10007,2.22521,-4.18662,14.52637,-35.4693,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260916-ThomasMoreStadium-Private-2,8ba66890-b207-11f1-bf1f-231e2cdd9da6,65.42421,,,4.76113,,,,,,,c253678d-02a5-4da6-a6d6-723ad593c265,2026-09-16,19:48:09.58,2026-09-16T15:48:09.5830000-04:00,2026-09-16T19:48:09.5830000Z,,v3,643-145989,643-145989,,"Zimmerman, Tyler",10108880,Right,THO_MOR,494d5416-7422-4c30-8b08-b09e68644be9,55.41486,-97.90679,7.26319,5.42606,4.195,-17.73465,2.38634,-1.71549,-2.09331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-09-16,15:48:21.76,2,1,"Maggard, Chase",10081115,Left,THO_MOR,"Atchley, Chad",10005022,Right,THO_MOR,Undefined,1,Top,1,0,2,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,83.72334,-1.711673,5.521339,2113.111045,150.041878,11:00,5.66443,-2.138,5.4927,-25.2534,15.10288,-8.03217,1.95087,2.37357,77.43853,-6.365967,4.101016,0.457222,,,,,,,,,,,,5.40272,8.40563,1.65901,50,5.49688,-11.37849,-121.10737,-4.45976,8.12514,20.86062,-19.53286,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260916-ThomasMoreStadium-Private-2,92edcfd0-b207-11f1-bf1f-231e2cdd9da6,82.43793,,,6.28481,,,,,,,c253678d-02a5-4da6-a6d6-723ad593c265,2026-09-16,19:48:21.76,2026-09-16T15:48:21.7660000-04:00,2026-09-16T19:48:21.7660000Z,,v3,643-145989,643-145989,,"Zimmerman, Tyler",10108880,Right,THO_MOR,65155386-3b89-4337-86a2-d49b9f34b22b,55.00612,-121.96661,10.43031,5.66401,-3.6552,-9.76643,2.13459,-11.71317,4.06257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2026-09-16,15:48:34.14,2,2,"Maggard, Chase",10081115,Left,THO_MOR,"Atchley, Chad",10005022,Right,THO_MOR,Undefined,1,Top,1,0,2,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,1,0,,81.11391,-1.734444,2.556123,2028.572399,144.35851,10:45,5.45625,-2.2151,5.58471,-28.46391,14.09568,-9.23004,1.46247,-0.5957,75.16601,-6.98188,0.909732,0.469537,,,,,,,,,,,,5.34079,7.95004,2.00172,50,5.28847,-4.90164,-117.78239,-4.47331,7.58833,19.97378,-20.87842,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260916-ThomasMoreStadium-Private-2,9a3e10b0-b207-11f1-bf1f-231e2cdd9da6,80.27568,,,5.9479,,,,,,,c253678d-02a5-4da6-a6d6-723ad593c265,2026-09-16,19:48:34.14,2026-09-16T15:48:34.1490000-04:00,2026-09-16T19:48:34.1490000Z,,v3,643-145989,643-145989,,"Zimmerman, Tyler",10108880,Right,THO_MOR,7ce61d13-84d2-4a7e-9f9e-7cbeb385b6f5,54.915,-118.61296,9.98689,5.45643,-3.60512,-10.43921,2.21211,-5.21718,3.79417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.3342,,,1.161304,,,,-2.25462,3.05522,2.84315,71.14171,9.35086,-53.64418,-2.22222,67.09889,-3.37496,3.13722,23.93342,-15.98649,2.78265,-53.52895,4.24394,High,High,High,,,High,High,High
6,2026-09-16,15:48:59.10,2,3,"Maggard, Chase",10081115,Left,THO_MOR,"Atchley, Chad",10005022,Right,THO_MOR,Undefined,1,Top,2,1,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,69.56248,2.214821,0.703877,2225.793612,291.661528,3:45,5.40633,-2.43818,5.246,-59.56865,-0.66067,6.04768,2.52484,-1.2727,64.30951,-8.594111,1.777029,0.552406,,,,,,,,,,,,-2.83492,-0.37437,2.36889,50,5.56537,-1.4556,-100.98006,2.06894,-2.94107,15.71355,-32.56242,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260916-ThomasMoreStadium-Private-2,a9347aa0-b207-11f1-bf1f-231e2cdd9da6,68.23321,,,5.25297,,,,,,,c253678d-02a5-4da6-a6d6-723ad593c265,2026-09-16,19:48:59.10,2026-09-16T15:48:59.1000000-04:00,2026-09-16T19:48:59.1000000Z,,v3,643-145989,643-145989,,"Zimmerman, Tyler",10108880,Right,THO_MOR,ee5a001d-88a8-48ed-82fc-ed7e649004ba,55.25373,-101.79431,7.85678,5.41445,3.75628,-16.28121,2.44036,-1.3032,-1.47053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-09-16,15:49:09.96,2,4,"Maggard, Chase",10081115,Left,THO_MOR,"Atchley, Chad",10005022,Right,THO_MOR,Undefined,1,Top,2,2,2,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,81.58747,-2.106761,3.24779,1975.262603,144.594835,10:45,5.38772,-2.10815,5.75664,-29.55706,12.03981,-7.7676,0.95955,0.27094,76.14681,-7.536316,1.858897,0.464197,74.46542,67.207942,54.80228,4660.408565,42.51981,112.1989,101.44976,169.669,77.03245,69.332366,5.246544,4.75512,6.9676,1.84365,50,5.19445,-6.43526,-118.48976,-5.29717,6.88064,18.86195,-22.092,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260916-ThomasMoreStadium-Private-2,afac35d0-b207-11f1-bf1f-231e2cdd9da6,81.19932,117.97366,,5.44065,,,,3.83324,1.27369,-0.19117,c253678d-02a5-4da6-a6d6-723ad593c265,2026-09-16,19:49:09.96,2026-09-16T15:49:09.9670000-04:00,2026-09-16T19:49:09.9670000Z,Popup,v3,643-145989,643-145989,,"Zimmerman, Tyler",10108880,Right,THO_MOR,99442b64-9532-4163-a4d0-bac5de687b21,54.74455,-119.24264,9.43098,5.38829,-4.41536,-11.046,2.106,-6.7099,3.44032,207.461099,3.83764,24.27365,-7.17004,0.93627,0.69378,-0.47279,0.12881,-0.01662,0.00083,1.28877,100.37861,-25.49758,1.07876,1.06373,-0.62285,0.15296,-0.01827,0.00087,-0.18226,34.42153,0.57941,-1.01466,0.35401,-0.02233,-0.01981,0.0049,-0.00034,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
8,2026-09-16,15:49:41.73,2,5,"Maggard, Chase",10081115,Left,THO_MOR,"Atchley, Chad",10005022,Right,THO_MOR,Undefined,1,Top,2,2,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,71.53161,2.982242,0.002453,1766.624404,177.12077,12:00,5.37403,-2.35813,5.48993,-46.91258,8.63012,-0.34689,4.25701,-2.38474,65.3782,-5.660743,-0.059288,0.536395,,,,,,,,,,,,0.17472,4.06185,2.35816,50,5.60381,0.00809,-103.70619,4.01349,0.19034,17.29096,-27.74907,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260916-ThomasMoreStadium-Private-2,c28928c0-b207-11f1-bf1f-231e2cdd9da6,70.26991,,,6.1534,,,,,,,c253678d-02a5-4da6-a6d6-723ad593c265,2026-09-16,19:49:41.73,2026-09-16T15:49:41.7360000-04:00,2026-09-16T19:49:41.7360000Z,,v3,643-145989,643-145989,,"Zimmerman, Tyler",10108880,Right,THO_MOR,7c86b7f5-df8b-46a8-a792-8608d170881a,55.00624,-104.53756,8.64548,5.37876,5.34768,-13.87454,2.35799,-0.00106,0.09517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-09-16,15:49:55.07,2,6,"Maggard, Chase",10081115,Left,THO_MOR,"Atchley, Chad",10005022,Right,THO_MOR,Undefined,1,Top,2,3,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,67.80993,3.539784,0.543126,2192.242402,294.720893,3:45,5.30161,-2.34975,4.61668,-66.88901,-3.64756,11.72591,3.09734,-0.85621,62.9402,-8.430921,2.597417,0.572364,,,,,,,,,,,,-5.61134,-2.1637,2.28237,50,5.60358,-1.36249,-98.33454,3.89885,-5.55393,14.01022,-34.31561,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260916-ThomasMoreStadium-Private-2,ca96c630-b207-11f1-bf1f-231e2cdd9da6,65.85398,,,4.86973,,,,,,,c253678d-02a5-4da6-a6d6-723ad593c265,2026-09-16,19:49:55.07,2026-09-16T15:49:55.0710000-04:00,2026-09-16T19:49:55.0710000Z,,v3,643-145989,643-145989,,"Zimmerman, Tyler",10108880,Right,THO_MOR,a82a507b-d694-4889-896a-e7aa20e8951c,55.88542,-99.16952,7.00511,5.31027,5.94399,-17.15781,2.3537,-1.03149,-2.77696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-09-16,15:50:09.88,3,1,"Maggard, Chase",10081115,Left,THO_MOR,"Holden, Ayden",1000511268,Right,THO_MOR,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.6245,1.027044,1.778668,1937.016178,141.247613,10:45,5.54459,-2.31667,5.58888,-30.28624,12.9578,-9.36772,3.98031,-1.43593,74.03796,-4.591484,0.108028,0.473298,,,,,,,,,,,,5.19496,6.68839,2.17017,50,5.61313,-3.26321,-117.07381,1.14216,7.25409,20.84021,-22.83459,THO_MOR,THO_MOR,ThomasMoreStadium,TeamExclusive,Team,20260916-ThomasMoreStadium-Private-2,d351e1b0-b207-11f1-bf1f-231e2cdd9da6,79.63786,,,6.58654,,,,,,,c253678d-02a5-4da6-a6d6-723ad593c265,2026-09-16,19:50:09.88,2026-09-16T15:50:09.8800000-04:00,2026-09-16T19:50:09.8800000Z,,v3,643-145989,643-145989,,"Zimmerman, Tyler",10108880,Right,THO_MOR,5a395b13-47ad-4a1c-a6ea-f179f17e4f74,54.90859,-117.94434,10.42011,5.5455,2.09601,-11.4173,2.31281,-3.56623,3.62705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.37031,2.888185,1.435597,1.452588,-1.13784,3.76842,1.43289,-3.79528,3.34426,5.5379,73.45532,9.06394,-51.33348,-3.74643,57.21082,-2.79398,3.50304,26.96921,-15.91438,5.43865,-43.9842,3.36617,High,High,High,,,High,Medium,High
